surface	wikidata_id	document_id	entity_fine_type
Bell. Civ.	http://www.wikidata.org/entity/Q87768678	sophoclesplaysa05campgoog_0100	work.primlit
Benlœw	http://www.wikidata.org/entity/Q18011839	lestragdiesdeso00tourgoog_0115	pers.other
Benoist	http://www.wikidata.org/entity/Q3816169	lestragdiesdeso00tourgoog_0021	pers.editor
Bentley	http://www.wikidata.org/entity/Q712899	cu31924087948174_0010	pers.other
Bergk	http://www.wikidata.org/entity/Q77598	sophokle1v3soph_0077, sophokle1v3soph_0091, sophokle1v3soph_0093, sophoclesplaysa05campgoog_0050, lestragdiesdeso00tourgoog_0068	pers.editor
Bergks	http://www.wikidata.org/entity/Q77598	sophokle1v3soph_0091	pers.editor
Bgk.	http://www.wikidata.org/entity/Q77598	Wecklein1894_0034, Wecklein1894_0042, Wecklein1894_0060	pers.editor
Bibliothèque	http://www.wikidata.org/entity/Q817383	lestragdiesdeso00tourgoog_0147	work.primlit
Blaydes	http://www.wikidata.org/entity/Q5498005	lestragdiesdeso00tourgoog_0091, lestragdiesdeso00tourgoog_0108	pers.other
Bothe	http://www.wikidata.org/entity/Q19197317	sophokle1v3soph_0057, lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0098, lestragdiesdeso00tourgoog_0110, lestragdiesdeso00tourgoog_0113, lestragdiesdeso00tourgoog_0114, lestragdiesdeso00tourgoog_0136	pers.other, pers.editor
Brambach	http://www.wikidata.org/entity/Q87619	cu31924087948174_0060	pers.author
Branck	http://www.wikidata.org/entity/Q454469	lestragdiesdeso00tourgoog_0145	pers.author
Brauron	http://www.wikidata.org/entity/Q475497	Wecklein1894_0027	loc
Brunck	http://www.wikidata.org/entity/Q454469	cu31924087948174_0014, sophoclesplaysa05campgoog_0168, lestragdiesdeso00tourgoog_0023, lestragdiesdeso00tourgoog_0061, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0118, lestragdiesdeso00tourgoog_0124, lestragdiesdeso00tourgoog_0125, lestragdiesdeso00tourgoog_0137	pers.author, pers.editor, pers.other
Butunti	http://www.wikidata.org/entity/Q19278	sophokle1v3soph_0200	loc
Calchas	http://www.wikidata.org/entity/Q725527	cu31924087948174_0036, cu31924087948174_0039, lestragdiesdeso00tourgoog_0115	pers.myth
Callim.	http://www.wikidata.org/entity/Q192417	sophoclesplaysa05campgoog_0100	pers.author
Camerarius	http://www.wikidata.org/entity/Q64361	cu31924087948174_0014, lestragdiesdeso00tourgoog_0098	pers.author, pers.other
Canter	http://www.wikidata.org/entity/Q3568335	cu31924087948174_0014	pers.author, pers.editor
Capperonier	http://www.wikidata.org/entity/Q2977140	cu31924087948174_0014	pers.author, pers.editor
Capt.	http://www.wikidata.org/entity/Q1035171	sophokle1v3soph_0114	work.primlit
Captifs	http://www.wikidata.org/entity/Q1035171	lestragdiesdeso00tourgoog_0126	work.primlit
Captiv.	http://www.wikidata.org/entity/Q1035171	Wecklein1894_0080	work.primlit
Carm.	http://www.wikidata.org/entity/Q1246446	sophokle1v3soph_0114	work.primlit
Carm.	http://www.wikidata.org/entity/Q943884	sophokle1v3soph_0118	work.primlit
Ch.	http://www.wikidata.org/entity/Q11688406	sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0146	work.primlit
Che- valiers	http://www.wikidata.org/entity/Q1215817	lestragdiesdeso00tourgoog_0138	work.primlit
Chevaliers	http://www.wikidata.org/entity/Q1215817	lestragdiesdeso00tourgoog_0067, lestragdiesdeso00tourgoog_0068	work.primlit
Chiron	http://www.wikidata.org/entity/Q183417	sophokle1v3soph_0089	pers.myth
Cho.	http://www.wikidata.org/entity/Q11688406	Wecklein1894_0039, Wecklein1894_0043, Wecklein1894_0059, Wecklein1894_0065, Wecklein1894_0082, sophokle1v3soph_0082, cu31924087948174_0053, cu31924087948174_0096, sophoclesplaysa05campgoog_0104	work.primlit
Choeph.	http://www.wikidata.org/entity/Q11688406	cu31924087948174_0076	work.primlit
Choéph.	http://www.wikidata.org/entity/Q11688406	lestragdiesdeso00tourgoog_0069	work.primlit
Choëphoroe	http://www.wikidata.org/entity/Q11688406	cu31924087948174_0011	work.primlit
Chresphonte	http://www.wikidata.org/entity/Q1788026	lestragdiesdeso00tourgoog_0147	pers.myth
Chrysippus	http://www.wikidata.org/entity/Q211411	sophoclesplaysa05campgoog_0108	pers.other
Cic.	http://www.wikidata.org/entity/Q1541	Wecklein1894_0063, sophoclesplaysa05campgoog_0147	pers.author
Cicéron	http://www.wikidata.org/entity/Q1541	lestragdiesdeso00tourgoog_0141, lestragdiesdeso00tourgoog_0153	pers.author
Cleomen.	http://www.wikidata.org/entity/Q87210068	lestragdiesdeso00tourgoog_0134	work.primlit
Cnide	http://www.wikidata.org/entity/Q690575	lestragdiesdeso00tourgoog_0067	loc
Cnossus	http://www.wikidata.org/entity/Q173527	cu31924087948174_0100	loc
Cobet	http://www.wikidata.org/entity/Q743457	sophokle1v3soph_0009	pers.other
Coloneus	http://www.wikidata.org/entity/Q294001	cu31924087948174_0040	work.primlit
Conington	http://www.wikidata.org/entity/Q6226858	cu31924087948174_0011	pers.author
Contre Androtion	http://www.wikidata.org/entity/Q4691027	lestragdiesdeso00tourgoog_0062	work.primlit
Contre Leptine	http://www.wikidata.org/entity/Q4691037	lestragdiesdeso00tourgoog_0062	work.primlit
Cor.	http://www.wikidata.org/entity/Q463126	cu31924087948174_0081	work.primlit
Crat.	http://www.wikidata.org/entity/Q1347394	sophoclesplaysa05campgoog_0099	work.primlit
Creon	http://www.wikidata.org/entity/Q786573	cu31924087948174_0039, cu31924087948174_0040	pers.myth
Cres- phonte	http://www.wikidata.org/entity/Q1788026	lestragdiesdeso00tourgoog_0147	pers.myth
Cresphonte	http://www.wikidata.org/entity/Q1788026	lestragdiesdeso00tourgoog_0147	pers.myth
Crete	http://www.wikidata.org/entity/Q34374	cu31924087948174_0100	loc
Créon	http://www.wikidata.org/entity/Q732066	lestragdiesdeso00tourgoog_0151	pers.myth
Cyclope	http://www.wikidata.org/entity/Q1206121	lestragdiesdeso00tourgoog_0060	work.primlit
Cyn.	http://www.wikidata.org/entity/Q3008827	sophoclesplaysa05campgoog_0100	work.primlit
Cyn.	http://www.wikidata.org/entity/Q87743321	cu31924087948174_0046	work.primlit
Cyneg.	http://www.wikidata.org/entity/Q87743321	sophoclesplaysa05campgoog_0100	work.primlit
Cypria	http://www.wikidata.org/entity/Q1075630	sophoclesplaysa05campgoog_0014	work.primlit
Cyr.	http://www.wikidata.org/entity/Q1145374	sophokle1v3soph_0066, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0147	work.primlit
Cyropédie	http://www.wikidata.org/entity/Q1145374	lestragdiesdeso00tourgoog_0057, lestragdiesdeso00tourgoog_0109, lestragdiesdeso00tourgoog_0112	work.primlit
Cyzicus	http://www.wikidata.org/entity/Q615449	sophoclesplaysa05campgoog_0147	loc
Dawes	http://www.wikidata.org/entity/Q7325127	cu31924087948174_0057	pers.editor
De Comp. Verborum	http://www.wikidata.org/entity/Q42188444	sophoclesplaysa05campgoog_0099	work.primlit
De Sens.	http://www.wikidata.org/entity/Q3481081	sophoclesplaysa05campgoog_0098	work.primlit
Delphi	http://www.wikidata.org/entity/Q17652439	sophoclesplaysa05campgoog_0050	loc
Dem.	http://www.wikidata.org/entity/Q117253	cu31924087948174_0085, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0107, sophoclesplaysa05campgoog_0108	pers.author
Demosth.	http://www.wikidata.org/entity/Q117253	sophokle1v3soph_0200	pers.author
Demosthenes	http://www.wikidata.org/entity/Q117253	cu31924087948174_0084	pers.author
Demoſth.	http://www.wikidata.org/entity/Q117253	Wecklein1894_0050	pers.author
Descartes	http://www.wikidata.org/entity/Q9191	lestragdiesdeso00tourgoog_0017	pers.other
Din- dorf	http://www.wikidata.org/entity/Q67533	sophokle1v3soph_0063, lestragdiesdeso00tourgoog_0024, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0129, lestragdiesdeso00tourgoog_0133, lestragdiesdeso00tourgoog_0140, lestragdiesdeso00tourgoog_0151	pers.other, pers.editor, pers.author
Dind.	http://www.wikidata.org/entity/Q67533	lestragdiesdeso00tourgoog_0129	pers.other
Dindorf	http://www.wikidata.org/entity/Q67533	sophokle1v3soph_0065, sophokle1v3soph_0077, sophokle1v3soph_0078, sophokle1v3soph_0083, cu31924087948174_0011, cu31924087948174_0150, lestragdiesdeso00tourgoog_0017, lestragdiesdeso00tourgoog_0021, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0073, lestragdiesdeso00tourgoog_0077, lestragdiesdeso00tourgoog_0082, lestragdiesdeso00tourgoog_0083, lestragdiesdeso00tourgoog_0092, lestragdiesdeso00tourgoog_0097, lestragdiesdeso00tourgoog_0108, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0128, lestragdiesdeso00tourgoog_0129, lestragdiesdeso00tourgoog_0130, lestragdiesdeso00tourgoog_0139, lestragdiesdeso00tourgoog_0141, lestragdiesdeso00tourgoog_0142, lestragdiesdeso00tourgoog_0143, lestragdiesdeso00tourgoog_0144, lestragdiesdeso00tourgoog_0146, lestragdiesdeso00tourgoog_0147, lestragdiesdeso00tourgoog_0149, lestragdiesdeso00tourgoog_0152, lestragdiesdeso00tourgoog_0153	pers.editor, pers.author, pers.other
Din⸗ dorf	http://www.wikidata.org/entity/Q67533	Wecklein1894_0059	pers.editor
Dio Chr.	http://www.wikidata.org/entity/Q334457	Wecklein1894_0053	pers.author
Dio Chrys.	http://www.wikidata.org/entity/Q334457	cu31924087948174_0088	pers.author
Diod.	http://www.wikidata.org/entity/Q171241	Wecklein1894_0054, Wecklein1894_0063	pers.author
Diodorus	http://www.wikidata.org/entity/Q171241	sophoclesplaysa05campgoog_0098	pers.author
Diomed	http://www.wikidata.org/entity/Q208256	cu31924087948174_0037	pers.myth
Dionys. Hal.	http://www.wikidata.org/entity/Q26204	sophoclesplaysa05campgoog_0097	pers.author
Dionys. Halic.	http://www.wikidata.org/entity/Q26204	sophoclesplaysa05campgoog_0099	pers.author
Dionysus	http://www.wikidata.org/entity/Q41680	cu31924087948174_0100	pers.myth
Dionyſos	http://www.wikidata.org/entity/Q41680	Wecklein1894_0064, Wecklein1894_0065	pers.myth
Dis	http://www.wikidata.org/entity/Q1228338	lestragdiesdeso00tourgoog_0105	pers.myth
Discours contre Timarque	http://www.wikidata.org/entity/Q2995964	lestragdiesdeso00tourgoog_0064	work.primlit
Dissen	http://www.wikidata.org/entity/Q99713	cu31924087948174_0067	pers.other
Dobrée	http://www.wikidata.org/entity/Q3559952	lestragdiesdeso00tourgoog_0100, lestragdiesdeso00tourgoog_0137	pers.other, pers.editor
Drya- den	http://www.wikidata.org/entity/Q202474	sophokle1v3soph_0110	pers.myth
Démosthène	http://www.wikidata.org/entity/Q117253	lestragdiesdeso00tourgoog_0062, lestragdiesdeso00tourgoog_0090	pers.author
Démétrius Triclinius	http://www.wikidata.org/entity/Q2987520	lestragdiesdeso00tourgoog_0024	pers.author
Dübner	http://www.wikidata.org/entity/Q97220	cu31924087948174_0016, lestragdiesdeso00tourgoog_0021	pers.other, pers.editor
Eccl.	http://www.wikidata.org/entity/Q608261	sophoclesplaysa05campgoog_0105	work.primlit
Eclog.	http://www.wikidata.org/entity/Q107029507	sophoclesplaysa05campgoog_0101	work.primlit
El- lendt	http://www.wikidata.org/entity/Q18411557	lestragdiesdeso00tourgoog_0099	pers.author
El.	http://www.wikidata.org/entity/Q540161	Wecklein1894_0043, cu31924087948174_0054, cu31924087948174_0083, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0102, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0108, lestragdiesdeso00tourgoog_0139	work.primlit
El.	http://www.wikidata.org/entity/Q733444	Wecklein1894_0025, Wecklein1894_0048, Wecklein1894_0057, Wecklein1894_0063, Wecklein1894_0096, sophokle1v3soph_0051, sophokle1v3soph_0052, sophokle1v3soph_0057, sophokle1v3soph_0062, sophokle1v3soph_0066, sophokle1v3soph_0067, sophokle1v3soph_0077, sophokle1v3soph_0080, sophokle1v3soph_0082, sophokle1v3soph_0083, sophokle1v3soph_0085, sophokle1v3soph_0091, sophokle1v3soph_0092, sophokle1v3soph_0109, sophokle1v3soph_0138, cu31924087948174_0012, cu31924087948174_0028, cu31924087948174_0041, cu31924087948174_0045, cu31924087948174_0052, cu31924087948174_0053, cu31924087948174_0065, cu31924087948174_0071, cu31924087948174_0073, cu31924087948174_0077, cu31924087948174_0078, cu31924087948174_0082, cu31924087948174_0117, cu31924087948174_0119, cu31924087948174_0145, cu31924087948174_0150, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0101, sophoclesplaysa05campgoog_0102, sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0146, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0288, lestragdiesdeso00tourgoog_0150	work.primlit, pers.author
Elect.	http://www.wikidata.org/entity/Q733444	lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0148, lestragdiesdeso00tourgoog_0154	work.primlit
Electra	http://www.wikidata.org/entity/Q131651	cu31924087948174_0071	pers.myth
Electra	http://www.wikidata.org/entity/Q733444	cu31924087948174_0010, cu31924087948174_0011, sophoclesplaysa05campgoog_0146	work.primlit
Electre	http://www.wikidata.org/entity/Q733444	lestragdiesdeso00tourgoog_0062, lestragdiesdeso00tourgoog_0071, lestragdiesdeso00tourgoog_0080, lestragdiesdeso00tourgoog_0107	work.primlit
Elektr.	http://www.wikidata.org/entity/Q733444	sophokle1v3soph_0143	work.primlit
Ellendt	http://www.wikidata.org/entity/Q18411557	lestragdiesdeso00tourgoog_0088, lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0092, lestragdiesdeso00tourgoog_0095, lestragdiesdeso00tourgoog_0097, lestragdiesdeso00tourgoog_0102, lestragdiesdeso00tourgoog_0104, lestragdiesdeso00tourgoog_0106, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0110, lestragdiesdeso00tourgoog_0112, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0118, lestragdiesdeso00tourgoog_0119, lestragdiesdeso00tourgoog_0120, lestragdiesdeso00tourgoog_0121, lestragdiesdeso00tourgoog_0122, lestragdiesdeso00tourgoog_0123, lestragdiesdeso00tourgoog_0126, lestragdiesdeso00tourgoog_0129	pers.other, pers.author
Ellendt	http://www.wikidata.org/entity/Q18411800	sophoclesplaysa05campgoog_0147, lestragdiesdeso00tourgoog_0064, lestragdiesdeso00tourgoog_0066, lestragdiesdeso00tourgoog_0067, lestragdiesdeso00tourgoog_0069, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0074, lestragdiesdeso00tourgoog_0078, lestragdiesdeso00tourgoog_0138, lestragdiesdeso00tourgoog_0144, lestragdiesdeso00tourgoog_0147, lestragdiesdeso00tourgoog_0155	pers.author, pers.editor
Elmsl.	http://www.wikidata.org/entity/Q7173848	cu31924087948174_0077	pers.editor
Elmsley	http://www.wikidata.org/entity/Q7173848	sophokle1v3soph_0093, cu31924087948174_0014, cu31924087948174_0078, lestragdiesdeso00tourgoog_0024	pers.editor, pers.author
Ennius	http://www.wikidata.org/entity/Q47130	sophokle1v3soph_0108	pers.author
Enyalius	http://www.wikidata.org/entity/Q1345963	cu31924087948174_0058	pers.author
Epheſus	http://www.wikidata.org/entity/Q47611	Wecklein1894_0027	loc
Epicharm	http://www.wikidata.org/entity/Q312410	Wecklein1894_0087	pers.author
Erech- theus	http://www.wikidata.org/entity/Q301219	cu31924087948174_0076	pers.myth
Erechtheus	http://www.wikidata.org/entity/Q301219	Wecklein1894_0030, sophokle1v3soph_0063, cu31924087948174_0059	pers.myth
Erfurdt	http://www.wikidata.org/entity/Q21213316	lestragdiesdeso00tourgoog_0069	pers.editor
Erfurdt	http://www.wikidata.org/entity/Q1670872	cu31924087948174_0014, lestragdiesdeso00tourgoog_0102	pers.author, pers.other
Eriboea	http://www.wikidata.org/entity/Q1295435	cu31924087948174_0038, sophoclesplaysa05campgoog_0146	pers.myth
Eriboia	http://www.wikidata.org/entity/Q1295435	Wecklein1894_0054	pers.myth
Eriböa	http://www.wikidata.org/entity/Q1295435	Wecklein1894_0007	pers.myth
Erinyes	http://www.wikidata.org/entity/Q180262	cu31924087948174_0036	pers.myth
Eschine	http://www.wikidata.org/entity/Q317089	lestragdiesdeso00tourgoog_0064, lestragdiesdeso00tourgoog_0137, lestragdiesdeso00tourgoog_0140	pers.author
Eschyle	http://www.wikidata.org/entity/Q40939	lestragdiesdeso00tourgoog_0057, lestragdiesdeso00tourgoog_0060, lestragdiesdeso00tourgoog_0067, lestragdiesdeso00tourgoog_0069, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0073, lestragdiesdeso00tourgoog_0075, lestragdiesdeso00tourgoog_0077, lestragdiesdeso00tourgoog_0087, lestragdiesdeso00tourgoog_0091, lestragdiesdeso00tourgoog_0096, lestragdiesdeso00tourgoog_0098, lestragdiesdeso00tourgoog_0105, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0112, lestragdiesdeso00tourgoog_0114, lestragdiesdeso00tourgoog_0128, lestragdiesdeso00tourgoog_0130, lestragdiesdeso00tourgoog_0137, lestragdiesdeso00tourgoog_0138, lestragdiesdeso00tourgoog_0139, lestragdiesdeso00tourgoog_0152, lestragdiesdeso00tourgoog_0154, lestragdiesdeso00tourgoog_0155	pers.author
Esculape	http://www.wikidata.org/entity/Q83223	lestragdiesdeso00tourgoog_0099	pers.myth
Euboea	http://www.wikidata.org/entity/Q173096	cu31924087948174_0100	loc
Euböa	http://www.wikidata.org/entity/Q173096	Wecklein1894_0064	loc
Eum.	http://www.wikidata.org/entity/Q1233164	Wecklein1894_0016, Wecklein1894_0045, Wecklein1894_0062, Wecklein1894_0087, sophokle1v3soph_0122, cu31924087948174_0119, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0108, lestragdiesdeso00tourgoog_0152	work.primlit, pers.author
Eumenides	http://www.wikidata.org/entity/Q11985103	sophoclesplaysa05campgoog_0050	pers.myth
Eumenides	http://www.wikidata.org/entity/Q1233164	lestragdiesdeso00tourgoog_0105, lestragdiesdeso00tourgoog_0139	work.primlit
Eumén.	http://www.wikidata.org/entity/Q1233164	lestragdiesdeso00tourgoog_0087	work.primlit
Eupolis	http://www.wikidata.org/entity/Q459517	lestragdiesdeso00tourgoog_0067	pers.author
Eur	http://www.wikidata.org/entity/Q48305	cu31924087948174_0082	pers.author
Eur,	http://www.wikidata.org/entity/Q48305	cu31924087948174_0062	pers.author
Eur.	http://www.wikidata.org/entity/Q48305	Wecklein1894_0019, Wecklein1894_0021, Wecklein1894_0022, Wecklein1894_0023, Wecklein1894_0026, Wecklein1894_0027, Wecklein1894_0029, Wecklein1894_0033, Wecklein1894_0035, Wecklein1894_0036, Wecklein1894_0037, Wecklein1894_0038, Wecklein1894_0041, Wecklein1894_0042, Wecklein1894_0043, Wecklein1894_0047, Wecklein1894_0049, Wecklein1894_0050, Wecklein1894_0051, Wecklein1894_0056, Wecklein1894_0057, Wecklein1894_0059, Wecklein1894_0061, Wecklein1894_0062, Wecklein1894_0063, Wecklein1894_0087, sophokle1v3soph_0054, sophokle1v3soph_0055, sophokle1v3soph_0064, sophokle1v3soph_0069, sophokle1v3soph_0077, sophokle1v3soph_0078, sophokle1v3soph_0086, sophokle1v3soph_0089, sophokle1v3soph_0092, sophokle1v3soph_0109, sophokle1v3soph_0114, sophokle1v3soph_0123, sophokle1v3soph_0143, cu31924087948174_0044, cu31924087948174_0045, cu31924087948174_0054, cu31924087948174_0058, cu31924087948174_0060, cu31924087948174_0064, cu31924087948174_0065, cu31924087948174_0067, cu31924087948174_0079, cu31924087948174_0082, cu31924087948174_0083, cu31924087948174_0084, cu31924087948174_0096, cu31924087948174_0108, cu31924087948174_0150, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0101, sophoclesplaysa05campgoog_0104, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0106, sophoclesplaysa05campgoog_0107, sophoclesplaysa05campgoog_0108, sophoclesplaysa05campgoog_0288, sophoclesplaysa05campgoog_0291, lestragdiesdeso00tourgoog_0096, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0126	pers.author
Euri- ripide	http://www.wikidata.org/entity/Q48305	lestragdiesdeso00tourgoog_0109	pers.author
Eurip.	http://www.wikidata.org/entity/Q48305	Wecklein1894_0023, lestragdiesdeso00tourgoog_0138	pers.author
Euripi- des	http://www.wikidata.org/entity/Q48305	sophokle1v3soph_0079	pers.author
Euripid.	http://www.wikidata.org/entity/Q48305	lestragdiesdeso00tourgoog_0099, lestragdiesdeso00tourgoog_0154	pers.author
Euripide	http://www.wikidata.org/entity/Q48305	lestragdiesdeso00tourgoog_0055, lestragdiesdeso00tourgoog_0057, lestragdiesdeso00tourgoog_0060, lestragdiesdeso00tourgoog_0061, lestragdiesdeso00tourgoog_0064, lestragdiesdeso00tourgoog_0065, lestragdiesdeso00tourgoog_0066, lestragdiesdeso00tourgoog_0067, lestragdiesdeso00tourgoog_0068, lestragdiesdeso00tourgoog_0069, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0075, lestragdiesdeso00tourgoog_0077, lestragdiesdeso00tourgoog_0078, lestragdiesdeso00tourgoog_0080, lestragdiesdeso00tourgoog_0085, lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0094, lestragdiesdeso00tourgoog_0106, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0119, lestragdiesdeso00tourgoog_0129, lestragdiesdeso00tourgoog_0131, lestragdiesdeso00tourgoog_0139, lestragdiesdeso00tourgoog_0142, lestragdiesdeso00tourgoog_0143, lestragdiesdeso00tourgoog_0144, lestragdiesdeso00tourgoog_0145, lestragdiesdeso00tourgoog_0147, lestragdiesdeso00tourgoog_0153	pers.author
Euripides	http://www.wikidata.org/entity/Q48305	Wecklein1894_0015, cu31924087948174_0035, cu31924087948174_0040, cu31924087948174_0058, lestragdiesdeso00tourgoog_0102	pers.author
Europe	http://www.wikidata.org/entity/Q46	sophoclesplaysa05campgoog_0098	loc
Eury- sakes	http://www.wikidata.org/entity/Q1378566	sophokle1v3soph_0086	pers.myth
Eurysaces	http://www.wikidata.org/entity/Q1378566	cu31924087948174_0038, cu31924087948174_0085, cu31924087948174_0145	pers.myth
Eurysacès	http://www.wikidata.org/entity/Q1378566	lestragdiesdeso00tourgoog_0082, lestragdiesdeso00tourgoog_0097, lestragdiesdeso00tourgoog_0098	pers.myth
Eurysacés	http://www.wikidata.org/entity/Q1378566	lestragdiesdeso00tourgoog_0139	pers.myth
Eurysakes	http://www.wikidata.org/entity/Q1378566	sophokle1v3soph_0072, sophokle1v3soph_0085, sophokle1v3soph_0116, sophokle1v3soph_0117	pers.myth
Euryſakes	http://www.wikidata.org/entity/Q1378566	Wecklein1894_0007	pers.myth
Eus- tathe	http://www.wikidata.org/entity/Q453465	lestragdiesdeso00tourgoog_0097, lestragdiesdeso00tourgoog_0134	pers.author
Eustathe	http://www.wikidata.org/entity/Q453465	lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0091, lestragdiesdeso00tourgoog_0122	pers.author, pers.other
Eustathius	http://www.wikidata.org/entity/Q453465	sophoclesplaysa05campgoog_0291	pers.author
Euthyphr.	http://www.wikidata.org/entity/Q648889	sophokle1v3soph_0122	work.primlit
Euſtath.	http://www.wikidata.org/entity/Q453465	Wecklein1894_0036	pers.author
Evelyn Abbott	http://www.wikidata.org/entity/Q5416283	cu31924087948174_0010	pers.other
Flor.	http://www.wikidata.org/entity/Q107029507	sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0288	work.primlit
Florence	http://www.wikidata.org/entity/Q2044	cu31924087948174_0014	loc
Fortune	http://www.wikidata.org/entity/Q4654	cu31924087948174_0054	pers.myth
Fr. Jacobs	http://www.wikidata.org/entity/Q91345	lestragdiesdeso00tourgoog_0119	pers.other
Fr.Thiersch	http://www.wikidata.org/entity/Q73076	sophokle1v3soph_0064	pers.other
France	http://www.wikidata.org/entity/Q142	lestragdiesdeso00tourgoog_0025	loc
Furies	http://www.wikidata.org/entity/Q6019476	sophoclesplaysa05campgoog_0050	pers.myth
Gaid- haronisi	http://www.wikidata.org/entity/Q5516997	Wecklein1894_0096	loc
Gaisford	http://www.wikidata.org/entity/Q2424118	lestragdiesdeso00tourgoog_0024	pers.editor
Galen	http://www.wikidata.org/entity/Q8778	sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0288	pers.author
Gelius	http://www.wikidata.org/entity/Q294800	sophoclesplaysa05campgoog_0108	pers.author
Gellius	http://www.wikidata.org/entity/Q294800	sophoclesplaysa05campgoog_0108	pers.author
Gorgiam	http://www.wikidata.org/entity/Q179785	lestragdiesdeso00tourgoog_0103	pers.author
Greece	http://www.wikidata.org/entity/Q41	sophoclesplaysa05campgoog_0103	loc
Grenouilles	http://www.wikidata.org/entity/Q815376	lestragdiesdeso00tourgoog_0099	work.primlit
Guillaume Dindorf	http://www.wikidata.org/entity/Q67533	lestragdiesdeso00tourgoog_0014, lestragdiesdeso00tourgoog_0024	pers.editor
Guêpes	http://www.wikidata.org/entity/Q1217552	lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0136	work.primlit
H.	http://www.wikidata.org/entity/Q674638	sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0101	work.primlit
H. Martin	http://www.wikidata.org/entity/Q954657	lestragdiesdeso00tourgoog_0115	pers.other
H. Stephanus	http://www.wikidata.org/entity/Q664748	cu31924087948174_0014	pers.author
Hades	http://www.wikidata.org/entity/Q1521549	sophokle1v3soph_0093	loc
Hadès	http://www.wikidata.org/entity/Q41410	lestragdiesdeso00tourgoog_0101	pers.myth
Haemon	http://www.wikidata.org/entity/Q733985	cu31924087948174_0040	pers.myth
Halae	http://www.wikidata.org/entity/Q15632345	lestragdiesdeso00tourgoog_0069	loc
Hamlet	http://www.wikidata.org/entity/Q41567	cu31924087948174_0128	work.primlit
Hdt	http://www.wikidata.org/entity/Q26825	cu31924087948174_0051	pers.author
Hdt.	http://www.wikidata.org/entity/Q2402678	cu31924087948174_0064	pers.author
Hdt.	http://www.wikidata.org/entity/Q26825	cu31924087948174_0046, cu31924087948174_0055, cu31924087948174_0078	pers.author
He- racles	http://www.wikidata.org/entity/Q122248	cu31924087948174_0011	pers.myth
He- sione	http://www.wikidata.org/entity/Q4137657	sophokle1v3soph_0079	pers.myth
Hec.	http://www.wikidata.org/entity/Q1115611	cu31924087948174_0062, cu31924087948174_0082	work.seclit, work.primlit
Hector	http://www.wikidata.org/entity/Q159666	cu31924087948174_0035, cu31924087948174_0036, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0168, lestragdiesdeso00tourgoog_0063, lestragdiesdeso00tourgoog_0130, lestragdiesdeso00tourgoog_0146	pers.myth
Hek.	http://www.wikidata.org/entity/Q1115611	Wecklein1894_0023, Wecklein1894_0036, Wecklein1894_0049, Wecklein1894_0050, sophokle1v3soph_0064	work.primlit
